family,ticker,label,date,value,method,source,n_items,coverage_weight,status,__source_file
IVE,IVE,iShares S&P 500 Value ETF,2026-04-17,0.0418053262243097,P/E estimate,Yahoo Finance,,,available,data/library/etf/daily/202604/etf_2026_0417.csv
IVE,IVE,iShares S&P 500 Value ETF,2026-04-21,0.0420697509739988,P/E estimate,Yahoo Finance,,,available,data/library/etf/daily/202604/etf_2026_0421.csv
IVE,IVE,iShares S&P 500 Value ETF,2026-04-22,0.0419933116412682,P/E estimate,Yahoo Finance,,,available,data/library/etf/daily/202604/etf_2026_0422.csv
IVV,IVV,iShares Core S&P 500 ETF,2026-04-17,0.0356096239424297,P/E estimate,Yahoo Finance,,,available,data/library/etf/daily/202604/etf_2026_0417.csv
IVV,IVV,iShares Core S&P 500 ETF,2026-04-21,0.0358253802183428,P/E estimate,Yahoo Finance,,,available,data/library/etf/daily/202604/etf_2026_0421.csv
IVV,IVV,iShares Core S&P 500 ETF,2026-04-22,0.0354578783984116,P/E estimate,Yahoo Finance,,,available,data/library/etf/daily/202604/etf_2026_0422.csv
IVW,IVW,iShares S&P 500 Growth ETF,2026-04-17,0.0303373344738148,P/E estimate,Yahoo Finance,,,available,data/library/etf/daily/202604/etf_2026_0417.csv
IVW,IVW,iShares S&P 500 Growth ETF,2026-04-21,0.0305131289144911,P/E estimate,Yahoo Finance,,,available,data/library/etf/daily/202604/etf_2026_0421.csv
IVW,IVW,iShares S&P 500 Growth ETF,2026-04-22,0.0299859380943306,P/E estimate,Yahoo Finance,,,available,data/library/etf/daily/202604/etf_2026_0422.csv
IWD,IWD,iShares Russell 1000 Value ETF,2026-04-17,0.0447734035953401,P/E estimate,Yahoo Finance,,,available,data/library/etf/daily/202604/etf_2026_0417.csv
IWD,IWD,iShares Russell 1000 Value ETF,2026-04-21,0.0450687609579058,P/E estimate,Yahoo Finance,,,available,data/library/etf/daily/202604/etf_2026_0421.csv
IWD,IWD,iShares Russell 1000 Value ETF,2026-04-22,0.044933480475504,P/E estimate,Yahoo Finance,,,available,data/library/etf/daily/202604/etf_2026_0422.csv
IYW,IYW,iShares U.S. Technology ETF,2026-04-17,0.0276872711647038,P/E estimate,Yahoo Finance,,,available,data/library/etf/daily/202604/etf_2026_0417.csv
IYW,IYW,iShares U.S. Technology ETF,2026-04-21,0.0277771659085398,P/E estimate,Yahoo Finance,,,available,data/library/etf/daily/202604/etf_2026_0421.csv
IYW,IYW,iShares U.S. Technology ETF,2026-04-22,0.0271687709106143,P/E estimate,Yahoo Finance,,,available,data/library/etf/daily/202604/etf_2026_0422.csv
SPY,SPY,State Street SPDR S&P 500 ETF,2026-04-17,1.0,P/E estimate,Provider page,,,available,data/library/etf/daily/202604/etf_2026_0417.csv
SPY,SPY,State Street SPDR S&P 500 ETF,2026-04-21,1.0,P/E estimate,Provider page,,,available,data/library/etf/daily/202604/etf_2026_0421.csv
SPY,SPY,State Street SPDR S&P 500 ETF,2026-04-22,1.0,P/E estimate,Provider page,,,available,data/library/etf/daily/202604/etf_2026_0422.csv
