family,ticker,label,date,value,method,source,n_items,coverage_weight,status,__source_file
China,MCHI,iShares MSCI China ETF,2026-04-17,0.0750927884039913,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0417.csv
China,MCHI,iShares MSCI China ETF,2026-04-21,0.0766486100426082,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0421.csv
China,MCHI,iShares MSCI China ETF,2026-04-22,0.0764645542823782,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0422.csv
China,MCHI,iShares MSCI China ETF,2026-04-23,0.0778397659078016,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0423.csv
China,MCHI,iShares MSCI China ETF,2026-04-27,0.0780441815916408,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0427.csv
China,MCHI,iShares MSCI China ETF,2026-04-28,0.0785391714117416,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0428.csv
China,MCHI,iShares MSCI China ETF,2026-04-29,0.0784424283171518,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0429.csv
Germany,EWG,iShares MSCI Germany ETF,2026-04-17,0.0552384713857813,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0417.csv
Germany,EWG,iShares MSCI Germany ETF,2026-04-21,0.0563285300681411,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0421.csv
Germany,EWG,iShares MSCI Germany ETF,2026-04-22,0.0559824653961184,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0422.csv
Germany,EWG,iShares MSCI Germany ETF,2026-04-23,0.0565166526316979,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0423.csv
Germany,EWG,iShares MSCI Germany ETF,2026-04-27,0.0562482970828058,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0427.csv
Germany,EWG,iShares MSCI Germany ETF,2026-04-28,0.056557125694479,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0428.csv
Germany,EWG,iShares MSCI Germany ETF,2026-04-29,0.0573095788949452,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0429.csv
India,INDA,iShares MSCI India ETF,2026-04-17,0.0426902453429745,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0417.csv
India,INDA,iShares MSCI India ETF,2026-04-21,0.0433160272809537,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0421.csv
India,INDA,iShares MSCI India ETF,2026-04-22,0.0431600251156818,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0422.csv
India,INDA,iShares MSCI India ETF,2026-04-23,0.0436579265244081,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0423.csv
India,INDA,iShares MSCI India ETF,2026-04-27,0.0436844495722222,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0427.csv
India,INDA,iShares MSCI India ETF,2026-04-28,0.0438175516022873,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0428.csv
India,INDA,iShares MSCI India ETF,2026-04-29,0.0439962904087778,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0429.csv
Japan,EWJ,iShares MSCI Japan ETF,2026-04-17,0.0546918437287761,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0417.csv
Japan,EWJ,iShares MSCI Japan ETF,2026-04-21,0.0559345588035821,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0421.csv
Japan,EWJ,iShares MSCI Japan ETF,2026-04-22,0.0555393935920202,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0422.csv
Japan,EWJ,iShares MSCI Japan ETF,2026-04-23,0.0559795258243069,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0423.csv
Japan,EWJ,iShares MSCI Japan ETF,2026-04-27,0.0555900677226,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0427.csv
Japan,EWJ,iShares MSCI Japan ETF,2026-04-28,0.0556662602844111,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0428.csv
Japan,EWJ,iShares MSCI Japan ETF,2026-04-29,0.0561471878316017,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0429.csv
