family,label,date,value,method,source,n_items,coverage_weight,status,__source_file
dow30,Dow 30,2026-04-17,0.0729946208270169,ICC calculation,Constituent ICC aggregation,30,,available,data/library/indices/daily/202604/indices_2026_0417.csv
dow30,Dow 30,2026-04-21,0.0733700077627771,ICC calculation,Constituent ICC aggregation,30,,available,data/library/indices/daily/202604/indices_2026_0421.csv
dow30,Dow 30,2026-04-22,0.0726813151709626,ICC calculation,Constituent ICC aggregation,30,,available,data/library/indices/daily/202604/indices_2026_0422.csv
dow30,Dow 30,2026-04-23,0.0733106614143383,ICC calculation,Constituent ICC aggregation,30,,available,data/library/indices/daily/202604/indices_2026_0423.csv
dow30,Dow 30,2026-04-27,0.0733942848008261,ICC calculation,Constituent ICC aggregation,30,,available,data/library/indices/daily/202604/indices_2026_0427.csv
ndx100,Nasdaq-100,2026-04-17,0.0747600245564625,ICC calculation,Constituent ICC aggregation,100,,available,data/library/indices/daily/202604/indices_2026_0417.csv
ndx100,Nasdaq-100,2026-04-21,0.0760356619899672,ICC calculation,Constituent ICC aggregation,100,,available,data/library/indices/daily/202604/indices_2026_0421.csv
ndx100,Nasdaq-100,2026-04-22,0.0759768830257627,ICC calculation,Constituent ICC aggregation,100,,available,data/library/indices/daily/202604/indices_2026_0422.csv
ndx100,Nasdaq-100,2026-04-23,0.0754819697358582,ICC calculation,Constituent ICC aggregation,100,,available,data/library/indices/daily/202604/indices_2026_0423.csv
ndx100,Nasdaq-100,2026-04-27,0.0745316438651927,ICC calculation,Constituent ICC aggregation,100,,available,data/library/indices/daily/202604/indices_2026_0427.csv
rut1000,Russell 1000,2026-04-17,0.0756062505344209,ICC calculation,Constituent ICC aggregation,978,,available,data/library/indices/daily/202604/indices_2026_0417.csv
rut1000,Russell 1000,2026-04-21,0.0762956620774549,ICC calculation,Constituent ICC aggregation,970,,available,data/library/indices/daily/202604/indices_2026_0421.csv
rut1000,Russell 1000,2026-04-22,0.0762648813530399,ICC calculation,Constituent ICC aggregation,970,,available,data/library/indices/daily/202604/indices_2026_0422.csv
rut1000,Russell 1000,2026-04-23,0.0757502312700658,ICC calculation,Constituent ICC aggregation,977,,available,data/library/indices/daily/202604/indices_2026_0423.csv
rut1000,Russell 1000,2026-04-27,0.0753526159079317,ICC calculation,Constituent ICC aggregation,972,,available,data/library/indices/daily/202604/indices_2026_0427.csv
sp100,S&P 100,2026-04-17,0.074672731394113,ICC calculation,Constituent ICC aggregation,101,,available,data/library/indices/daily/202604/indices_2026_0417.csv
sp100,S&P 100,2026-04-21,0.0756606824822278,ICC calculation,Constituent ICC aggregation,101,,available,data/library/indices/daily/202604/indices_2026_0421.csv
sp100,S&P 100,2026-04-22,0.075632405515389,ICC calculation,Constituent ICC aggregation,101,,available,data/library/indices/daily/202604/indices_2026_0422.csv
sp100,S&P 100,2026-04-23,0.0749071366848596,ICC calculation,Constituent ICC aggregation,101,,available,data/library/indices/daily/202604/indices_2026_0423.csv
sp100,S&P 100,2026-04-27,0.0742919802922699,ICC calculation,Constituent ICC aggregation,101,,available,data/library/indices/daily/202604/indices_2026_0427.csv
sp400,S&P 400,2026-04-17,0.0832519955847584,ICC calculation,Constituent ICC aggregation,396,,available,data/library/indices/daily/202604/indices_2026_0417.csv
sp400,S&P 400,2026-04-21,0.0831373044009722,ICC calculation,Constituent ICC aggregation,392,,available,data/library/indices/daily/202604/indices_2026_0421.csv
sp400,S&P 400,2026-04-22,0.0834686517670853,ICC calculation,Constituent ICC aggregation,392,,available,data/library/indices/daily/202604/indices_2026_0422.csv
sp400,S&P 400,2026-04-23,0.0836025017855611,ICC calculation,Constituent ICC aggregation,396,,available,data/library/indices/daily/202604/indices_2026_0423.csv
sp400,S&P 400,2026-04-27,0.0833765210191803,ICC calculation,Constituent ICC aggregation,393,,available,data/library/indices/daily/202604/indices_2026_0427.csv
sp500,S&P 500,2026-04-17,0.074973566467402,ICC calculation,Constituent ICC aggregation,500,,available,data/library/indices/daily/202604/indices_2026_0417.csv
sp500,S&P 500,2026-04-21,0.0758585205854684,ICC calculation,Constituent ICC aggregation,499,,available,data/library/indices/daily/202604/indices_2026_0421.csv
sp500,S&P 500,2026-04-22,0.0740492839193054,ICC calculation,Constituent ICC aggregation,499,,available,data/library/indices/daily/202604/indices_2026_0422.csv
sp500,S&P 500,2026-04-23,0.0757900175311006,ICC calculation,Constituent ICC aggregation,500,,available,data/library/indices/daily/202604/indices_2026_0423.csv
sp500,S&P 500,2026-04-27,0.0748247913636943,ICC calculation,Constituent ICC aggregation,500,,available,data/library/indices/daily/202604/indices_2026_0427.csv
sp600,S&P 600,2026-04-17,0.0928439817025836,ICC calculation,Constituent ICC aggregation,572,,available,data/library/indices/daily/202604/indices_2026_0417.csv
sp600,S&P 600,2026-04-21,0.0933028673207906,ICC calculation,Constituent ICC aggregation,568,,available,data/library/indices/daily/202604/indices_2026_0421.csv
sp600,S&P 600,2026-04-22,0.0930750222875465,ICC calculation,Constituent ICC aggregation,568,,available,data/library/indices/daily/202604/indices_2026_0422.csv
sp600,S&P 600,2026-04-23,0.0931459829655688,ICC calculation,Constituent ICC aggregation,572,,available,data/library/indices/daily/202604/indices_2026_0423.csv
sp600,S&P 600,2026-04-27,0.0924366535826526,ICC calculation,Constituent ICC aggregation,570,,available,data/library/indices/daily/202604/indices_2026_0427.csv
